code,name,metric,fy,basis,value,unit,source,as_of
1332,Nissui Corporation,dps,FY2026,company,32.0,jpy,jquants,2026-05-20
1332,Nissui Corporation,eps,FY2026,company,90.68,jpy,jquants,2026-05-20
1332,Nissui Corporation,eps,FY2026,consensus,97.19167,jpy,yfinance,2026-08-27
1332,Nissui Corporation,net_profit,FY2026,company,27500000000.0,jpy_abs,jquants,2026-05-20
1332,Nissui Corporation,net_sales,FY2026,company,928000000000.0,jpy_abs,jquants,2026-05-20
1332,Nissui Corporation,net_sales,FY2026,consensus,1002216666670.0,jpy_abs,yfinance,2026-08-27
1332,Nissui Corporation,operating_profit,FY2026,company,38000000000.0,jpy_abs,jquants,2026-05-20
1332,Nissui Corporation,dps,FY2027,company,32.0,jpy,jquants,2026-05-20
1332,Nissui Corporation,eps,FY2027,company,95.62,jpy,jquants,2026-05-20
1332,Nissui Corporation,eps,FY2027,consensus,106.14333,jpy,yfinance,2026-08-27
1332,Nissui Corporation,net_profit,FY2027,company,29000000000.0,jpy_abs,jquants,2026-05-20
1332,Nissui Corporation,net_sales,FY2027,company,980000000000.0,jpy_abs,jquants,2026-05-20
1332,Nissui Corporation,net_sales,FY2027,consensus,1046733333330.0,jpy_abs,yfinance,2026-08-27
1332,Nissui Corporation,operating_profit,FY2027,company,42500000000.0,jpy_abs,jquants,2026-05-20
1332,Nissui Corporation,eps,FY2028,consensus,106.14333,jpy,yfinance,2026-08-27
1332,Nissui Corporation,net_sales,FY2028,consensus,1046733333330.0,jpy_abs,yfinance,2026-08-27
1414,"SHO-BOND Holdings Co.,Ltd.",dps,FY2026,company,25.0,jpy,jquants,2026-05-11
1414,"SHO-BOND Holdings Co.,Ltd.",eps,FY2026,company,75.4,jpy,jquants,2026-05-11
1414,"SHO-BOND Holdings Co.,Ltd.",eps,FY2026,consensus,76.75424,jpy,yfinance,2026-08-27
1414,"SHO-BOND Holdings Co.,Ltd.",net_profit,FY2026,company,15300000000.0,jpy_abs,jquants,2026-05-11
1414,"SHO-BOND Holdings Co.,Ltd.",net_sales,FY2026,company,91000000000.0,jpy_abs,jquants,2026-05-11
1414,"SHO-BOND Holdings Co.,Ltd.",net_sales,FY2026,consensus,91025000000.0,jpy_abs,yfinance,2026-08-27
1414,"SHO-BOND Holdings Co.,Ltd.",operating_profit,FY2026,company,21000000000.0,jpy_abs,jquants,2026-05-11
1414,"SHO-BOND Holdings Co.,Ltd.",eps,FY2027,consensus,80.64028,jpy,yfinance,2026-08-27
1414,"SHO-BOND Holdings Co.,Ltd.",net_sales,FY2027,consensus,97675000000.0,jpy_abs,yfinance,2026-08-27
1414,"SHO-BOND Holdings Co.,Ltd.",eps,FY2028,consensus,80.64028,jpy,yfinance,2026-08-27
1414,"SHO-BOND Holdings Co.,Ltd.",net_sales,FY2028,consensus,97675000000.0,jpy_abs,yfinance,2026-08-27
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",dps,FY2026,company,64.0,jpy,jquants,2026-05-13
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",eps,FY2026,company,125.26,jpy,jquants,2026-05-13
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",net_profit,FY2026,company,6400000000.0,jpy_abs,jquants,2026-05-13
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",net_sales,FY2026,company,66600000000.0,jpy_abs,jquants,2026-05-13
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",net_sales,FY2026,consensus,0.0,jpy_abs,yfinance,2026-08-27
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",operating_profit,FY2026,company,9000000000.0,jpy_abs,jquants,2026-05-13
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",dps,FY2027,company,74.0,jpy,jquants,2026-05-13
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",eps,FY2027,company,185.4,jpy,jquants,2026-05-13
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",net_profit,FY2027,company,7100000000.0,jpy_abs,jquants,2026-05-13
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",net_sales,FY2027,company,68000000000.0,jpy_abs,jquants,2026-05-13
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",net_sales,FY2027,consensus,0.0,jpy_abs,yfinance,2026-08-27
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",operating_profit,FY2027,company,9700000000.0,jpy_abs,jquants,2026-05-13
